t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau
0,-6.74030026813e-06,1,0,7.01880937565e-05,0,4.175e-05,0,3.87254169924e-05,1.96323758094,0,1,0.1,0.485707975903,0,0,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.4856955,-1.24759030375e-05,0.1,0.1,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.1,-6.97254817025e-05,0.999999965725,-5.23524505156e-07,0.000274038558143,8,0.0001714417,6.91679448581,0.000160811409889,2.02247748593,0,1,0.1,0.437164451251,0,69.1679448581,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.437123931399,-4.05198525821e-05,0.223947166903,0.246988222393,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.2,-0.000119630670518,0.999999863322,-3.02171455391e-06,0.000791488465848,8,4.37708e-05,2.51980324334,0.000498031516867,2.09480260062,0,1,0.1,0.393465572974,0,-43.9699124247,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.393407486274,-5.80866997971e-05,0.274028064247,0.302165527296,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.3,-4.4520341874e-05,0.999999694048,-1.07702864783e-05,0.00187139336285,8,4.36875e-05,3.42323639835,0.00126427126415,2.12820270706,6.11006175733e-06,0.993307147915,0.1,0.354062796399,0,9.03433155003,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.354058950464,-3.84593488669e-06,0.372213484783,0.410340264409,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.4,0.00104068715212,0.999999459984,-2.530441145e-05,0.00380862761322,6,4.31666e-05,5.1120654037,0.00274713373782,2.18750505121,0.00119976274008,0.993306921184,0.1,0.31829017259,0,16.8882900535,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.318652587543,0.00036241495367,0.598289028625,0.659413442024,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.5,0.00426453486344,0.999999164012,-4.90451380412e-05,0.0069729524518,9,6.37042e-05,2.8329060281,0.00531044159503,2.31573843657,0.00509222615203,0.993306181766,0.1,0.285384947178,0,-22.7915937559,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.286823570284,0.00143862310659,0.669670291649,0.737915636914,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.6,0.00779353223788,0.999998809787,-6.76861520046e-05,0.0118107371244,6,6.17333e-05,2.44281128753,0.00933522009302,2.36151242297,0.00337695463542,0.993306507611,0.1,0.255486514349,0,-3.9009474057,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.258327891039,0.00284137668955,0.704645393837,0.776294539154,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.7,0.0125462760383,0.999998401692,-9.26706391797e-05,0.0181461779707,6,6.15167e-05,3.86617739626,0.0148807392414,2.38787223997,0.00321129075706,0.993306539081,0.1,0.228214667582,0,14.2336610873,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.23287902513,0.00466435754871,0.814087307642,0.892987323867,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.8,0.0155125159433,0.999997944798,-0.000125553965052,0.0260225570792,6,6.06584e-05,4.13224672981,0.0220941979313,2.45465045905,0.00534931226844,0.993306132927,0.1,0.203542859307,0,2.66069333544,0,1,1,1,0.5,0.1,0.1,0.1,stable,0.210130187847,0.00658732854002,0.938451128381,0.979466362026,tanh,0.1,,,,0.1,0.1,0.1,0.1
0.9,0.0147795168595,0.999997444801,-0.000132638558174,0.0348110768833,6,6.2075e-05,3.23946842208,0.0305114461375,2.52987565455,0.0210441318452,0.993303150673,0.386847408306,0.181191412716,6.01442994476,-8.92778307725,0,5.84801763159,1,1,0.5,0.1,0.1,0.1,transitoire,0.189854404065,0.00866299134925,1,0.997806643001,tanh,0.1,,,,0.1,0.1,0.1,0.1
1,0.00263236270315,0.999996907969,-0.000110027980342,0.0442675108549,1,6.37875e-05,57.9269348676,0.0396882084822,2.57126683887,0.0873400117386,0.993290538884,0.327587573321,0.15954647384,23.3185982524,546.874664455,0,5.89300096249,1,1,0.5,0.1,0.1,0.1,transitoire,0.171944716313,0.0123982424732,0.150359467879,0.165431675807,tanh,0.1,,,,0.1,0.1,0.1,0.1
1.1,0.00139761558051,0.999996341065,-7.17324341022e-05,0.0540402523645,1,6.65125e-05,5.36490506287,0.0493203856849,2.11492298955,0.0127946790703,0.993304718359,0.342875949182,0.144471905673,23.4028781387,-525.620298047,0,7.69856056355,1,1,0.5,0.1,0.1,0.1,transitoire,0.155742104079,0.0112701984065,0.135188944544,0.14847639402,tanh,0.1,,,,0.1,0.1,0.1,0.1
