event_type,t_start,t_end,metric,value,severity,scale
anomaly,233,282,S(t),6.815590,medium,
anomaly,234,283,S(t),6.592371,medium,
anomaly,235,284,S(t),6.292446,medium,
anomaly,236,285,S(t),5.918099,medium,
anomaly,237,286,S(t),5.531518,medium,
anomaly,238,287,S(t),5.136702,medium,
anomaly,239,288,S(t),4.766339,medium,
anomaly,293,314,S(t),4.705567,medium,
anomaly,294,313,S(t),4.466113,medium,
anomaly,295,313,S(t),4.170559,low,
anomaly,296,312,S(t),3.841033,low,
anomaly,297,310,S(t),3.526861,low,
anomaly,391,440,S(t),46.206351,high,
anomaly,392,441,S(t),43.299239,high,
anomaly,393,442,S(t),39.463354,high,
anomaly,394,443,S(t),35.489115,high,
anomaly,395,444,S(t),31.105517,high,
anomaly,396,445,S(t),27.120423,high,
anomaly,397,446,S(t),23.302045,high,
anomaly,398,447,S(t),20.096838,high,
anomaly,399,448,S(t),17.240761,high,
anomaly,400,449,S(t),14.910563,high,
anomaly,401,450,S(t),12.890563,high,
anomaly,402,451,S(t),11.244697,high,
anomaly,403,452,S(t),9.826530,high,
anomaly,404,452,S(t),8.653973,high,
anomaly,405,449,S(t),7.658313,medium,
anomaly,406,446,S(t),6.809375,medium,
anomaly,407,444,S(t),6.085911,medium,
anomaly,408,441,S(t),5.464098,medium,
anomaly,409,439,S(t),4.929213,medium,
anomaly,410,437,S(t),4.465592,medium,
anomaly,411,435,S(t),4.063235,low,
anomaly,492,499,S(t),4.616516,medium,
anomaly,493,499,S(t),4.317284,medium,
anomaly,494,499,S(t),3.985436,low,
anomaly,495,499,S(t),3.652693,low,
anomaly,496,499,S(t),3.338256,low,
anomaly,60,109,C(t),100.268624,high,
anomaly,61,110,C(t),92.537973,high,
anomaly,62,111,C(t),82.324881,high,
anomaly,63,112,C(t),71.263443,high,
anomaly,64,113,C(t),60.724736,high,
anomaly,65,114,C(t),51.430818,high,
anomaly,66,115,C(t),43.574726,high,
anomaly,67,116,C(t),37.068216,high,
anomaly,68,117,C(t),31.719615,high,
anomaly,69,118,C(t),27.323831,high,
anomaly,70,119,C(t),23.697806,high,
anomaly,71,120,C(t),20.689790,high,
anomaly,72,121,C(t),18.178082,high,
anomaly,73,122,C(t),16.066445,high,
anomaly,74,123,C(t),14.279092,high,
anomaly,75,124,C(t),12.756279,high,
anomaly,76,125,C(t),11.450721,high,
anomaly,77,126,C(t),10.324787,high,
