event_type,t_start,t_end,metric,value,severity,scale
fractal_pattern,100,200,S(t),0.909863,high,10/100
fractal_pattern,150,250,S(t),0.871146,medium,10/100
fractal_pattern,200,300,S(t),0.797175,medium,10/100
fractal_pattern,350,450,S(t),0.809491,medium,10/100
fractal_pattern,200,300,C(t),0.841014,medium,10/100
fractal_pattern,300,400,C(t),0.855369,medium,10/100
fractal_pattern,100,200,An_mean(t),0.888182,medium,10/100
fractal_pattern,150,250,An_mean(t),0.925738,high,10/100
fractal_pattern,200,300,An_mean(t),0.894580,medium,10/100
fractal_pattern,150,250,fn_mean(t),0.926309,high,10/100
fractal_pattern,250,350,fn_mean(t),0.923830,high,10/100
fractal_pattern,350,450,fn_mean(t),0.926285,high,10/100
fractal_pattern,250,350,entropy_S,0.703224,medium,10/100
fractal_pattern,200,300,effort(t),0.736619,medium,10/100
fractal_pattern,100,200,mean_high_effort,0.835866,medium,10/100
fractal_pattern,150,250,mean_high_effort,0.830020,medium,10/100
fractal_pattern,200,300,mean_high_effort,0.828998,medium,10/100
fractal_pattern,250,350,mean_high_effort,0.824492,medium,10/100
fractal_pattern,300,400,mean_high_effort,0.825206,medium,10/100
fractal_pattern,350,450,mean_high_effort,0.823814,medium,10/100
fractal_pattern,100,200,mean_abs_error,0.706616,medium,10/100
fractal_pattern,200,300,mean_abs_error,0.800866,medium,10/100
fractal_pattern,300,400,mean_abs_error,0.782465,medium,10/100
fractal_pattern,350,450,mean_abs_error,0.863678,medium,10/100
