metric_1,metric_2,correlation,abs_correlation,correlation_type,strength
tau_S,decorrelation_time,1.0,1.0,positive,very_strong
E(t),An_mean(t),0.9997610884856676,0.9997610884856676,positive,very_strong
decorrelation_time,autocorr_tau,0.998328674476297,0.998328674476297,positive,very_strong
tau_S,autocorr_tau,0.998328674476297,0.998328674476297,positive,very_strong
gamma,gamma_mean(t),0.9979391768939428,0.9979391768939428,positive,very_strong
mean_abs_error,En_mean(t),0.9919105387212405,0.9919105387212405,positive,very_strong
tau_C,max_median_ratio,0.975662286387517,0.975662286387517,positive,very_strong
gamma,best_pair_gamma,0.9737338111721767,0.9737338111721767,positive,very_strong
gamma_mean(t),best_pair_gamma,0.9735970500076621,0.9735970500076621,positive,very_strong
E(t),mean_high_effort,0.9617571058409846,0.9617571058409846,positive,very_strong
An_mean(t),mean_high_effort,0.9615885314004803,0.9615885314004803,positive,very_strong
C(t),max_median_ratio,-0.9537009748146101,0.9537009748146101,negative,very_strong
C(t),tau_C,-0.9488340303672121,0.9488340303672121,negative,very_strong
std_S,best_pair_score,-0.9326656807418373,0.9326656807418373,negative,very_strong
best_pair_score,decorrelation_time,0.9260691876086679,0.9260691876086679,positive,very_strong
tau_S,best_pair_score,0.9260691876086677,0.9260691876086677,positive,very_strong
best_pair_score,autocorr_tau,0.9195620737769004,0.9195620737769004,positive,very_strong
An_mean(t),best_pair_score,-0.9188398995889344,0.9188398995889344,negative,very_strong
E(t),best_pair_score,-0.9186591386880364,0.9186591386880364,negative,very_strong
best_pair_score,mean_high_effort,-0.900123307143684,0.900123307143684,negative,very_strong
E(t),std_S,0.8979754580334498,0.8979754580334498,positive,strong
std_S,An_mean(t),0.8979133207202844,0.8979133207202844,positive,strong
std_S,mean_high_effort,0.8926594553226083,0.8926594553226083,positive,strong
E(t),On_mean(t),0.8916606747528242,0.8916606747528242,positive,strong
An_mean(t),On_mean(t),0.8883334921667039,0.8883334921667039,positive,strong
variance_d2S,best_pair_score,-0.8859840441393555,0.8859840441393555,negative,strong
fluidity,best_pair_score,0.8859040822373347,0.8859040822373347,positive,strong
fluidity,best_pair_gamma,-0.8827351180170722,0.8827351180170722,negative,strong
variance_d2S,best_pair_gamma,0.882629840990971,0.882629840990971,positive,strong
tau_S,tau_gamma,0.8688726696520946,0.8688726696520946,positive,strong
tau_gamma,decorrelation_time,0.8688726696520944,0.8688726696520944,positive,strong
temporal_coherence,continuous_resilience,-0.856051004718271,0.856051004718271,negative,strong
tau_gamma,autocorr_tau,0.8517092293203331,0.8517092293203331,positive,strong
tau_f_mean,autocorr_tau,0.8343603054013111,0.8343603054013111,positive,strong
E(t),variance_d2S,0.833212323741851,0.833212323741851,positive,strong
variance_d2S,mean_high_effort,0.8318142615204377,0.8318142615204377,positive,strong
variance_d2S,An_mean(t),0.8295080276639243,0.8295080276639243,positive,strong
effort(t),best_pair_score,-0.8248429008263557,0.8248429008263557,negative,strong
On_mean(t),mean_high_effort,0.8177262623425051,0.8177262623425051,positive,strong
tau_f_mean,tau_S,0.8147764381063167,0.8147764381063167,positive,strong
tau_f_mean,decorrelation_time,0.8147764381063167,0.8147764381063167,positive,strong
effort(t),best_pair_gamma,0.8128171547420477,0.8128171547420477,positive,strong
std_S,decorrelation_time,-0.7992602811078889,0.7992602811078889,negative,strong
std_S,tau_S,-0.7992602811078889,0.7992602811078889,negative,strong
std_S,On_mean(t),0.7937006500449177,0.7937006500449177,positive,strong
On_mean(t),best_pair_score,-0.7920604813185331,0.7920604813185331,negative,strong
variance_d2S,On_mean(t),0.7858848843221383,0.7858848843221383,positive,strong
variance_d2S,decorrelation_time,-0.7827489635970645,0.7827489635970645,negative,strong
variance_d2S,tau_S,-0.7827489635970645,0.7827489635970645,negative,strong
variance_d2S,autocorr_tau,-0.781614103738182,0.781614103738182,negative,strong
std_S,autocorr_tau,-0.7771164836456508,0.7771164836456508,negative,strong
variance_d2S,std_S,0.7686977938630012,0.7686977938630012,positive,strong
E(t),tau_S,-0.751576100023121,0.751576100023121,negative,strong
E(t),decorrelation_time,-0.751576100023121,0.751576100023121,negative,strong
On_mean(t),tau_S,-0.7469726328975809,0.7469726328975809,negative,strong
On_mean(t),decorrelation_time,-0.7469726328975809,0.7469726328975809,negative,strong
An_mean(t),decorrelation_time,-0.7419322521074415,0.7419322521074415,negative,strong
An_mean(t),tau_S,-0.7419322521074415,0.7419322521074415,negative,strong
tau_gamma,best_pair_score,0.7408894003637202,0.7408894003637202,positive,strong
continuous_resilience,best_pair_score,0.7378090825420643,0.7378090825420643,positive,strong
On_mean(t),autocorr_tau,-0.7304316084118678,0.7304316084118678,negative,strong
En_mean(t),tau_f_mean,-0.7286362470427155,0.7286362470427155,negative,strong
tau_C,mean_high_effort,-0.7276196305924424,0.7276196305924424,negative,strong
E(t),autocorr_tau,-0.7274446088231435,0.7274446088231435,negative,strong
decorrelation_time,mean_high_effort,-0.7258056635517234,0.7258056635517234,negative,strong
tau_S,mean_high_effort,-0.7258056635517234,0.7258056635517234,negative,strong
An_mean(t),autocorr_tau,-0.7173439098583368,0.7173439098583368,negative,strong
tau_f_mean,tau_gamma,0.7129919424960113,0.7129919424960113,positive,strong
tau_f_mean,temporal_coherence,0.7097048019582418,0.7097048019582418,positive,strong
En_mean(t),best_pair_score,-0.706402871780031,0.706402871780031,negative,strong
En_mean(t),temporal_coherence,-0.7028508268795098,0.7028508268795098,negative,strong
autocorr_tau,mean_high_effort,-0.7016168037809756,0.7016168037809756,negative,strong
fluidity,mean_abs_error,0.7002835442178919,0.7002835442178919,positive,strong
best_pair_score,best_pair_gamma,-0.6887247095012632,0.6887247095012632,negative,moderate
