t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),An_mean(t),fn_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,temporal_coherence,tau_S,tau_gamma,tau_C,effort_status,phi,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),best_pair_gamma,best_pair_G,best_pair_score,tau_A_mean,tau_f_mean,decorrelation_time,autocorr_tau,std_S
0.0,-6.740300268129322e-06,1.0,0.0,7.018809375654382e-05,0,6.117079999998776e-05,0.0,3.872541699237937e-05,1.9632375809433675,0,1.0,0.1,0.4857079759030375,0,0,0,1.0,1.0,0.0,0.5,0.1,0.1,0.1,stable,1.618,0.4856955,-1.2475903037491591e-05,0.1,0.1,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.0
0.1,-6.97254817024717e-05,0.9999999657253247,-5.235245051563159e-07,0.00027403855814336675,8,6.377500000001035e-05,6.9167944858145445,0.0001608114098888548,2.022477485932858,0,1.0,0.1,0.43716445125147063,0,69.16794485814545,0,1.0,1.0,1.0,0.5,0.1,0.1,0.1,stable,1.618,0.43712393139888855,-4.05198525820553e-05,0.22394716690287741,0.24698822239251697,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.0
0.2,-0.00011963067051757583,0.9999998633220026,-3.0217145539070765e-06,0.0007914884658477731,8,5.2245800000005896e-05,2.519803243342448,0.0004980315168669193,2.0948026006200173,0.0,1.0,0.1,0.39346557297353857,0,-43.96991242472096,0,1.0,1.0,1.0,0.5,0.1,0.1,0.1,stable,1.0,0.39340748627374145,-5.808669979712857e-05,0.27402806424716314,0.30216552729602525,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.0
0.30000000000000004,-4.452034187400148e-05,0.9999996940476757,-1.0770286478349486e-05,0.001871393362849094,8,4.695000000001226e-05,3.4232363983458436,0.0012642712641518642,2.1282027070635645,6.110061757329166e-06,0.9933071479151426,0.1,0.35406279639877064,0,9.034331550033956,0,1.0,1.0,1.0,0.5,0.1,0.1,0.1,stable,1.3406136879143038,0.35405895046388397,-3.845934886694663e-06,0.3722134847826255,0.410340264409011,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.0
0.4,0.0010406871521237036,0.9999994599835504,-2.5304411449983348e-05,0.0038086276132237983,6,5.6404100000007065e-05,5.112065403696696,0.0027471337378236088,2.1875050512135656,0.0011997627400796335,0.9933069211835562,0.1,0.31829017258961617,0,16.888290053508523,0,1.0,1.0,1.0,0.5,0.1,0.1,0.1,stable,1.2165422012938376,0.31865258754328624,0.0003624149536700772,0.5982890286251357,0.6594134420236168,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.0
0.5,0.004264534863444292,0.9999991640122298,-4.9045138041203816e-05,0.006972952451804661,9,7.234160000000323e-05,2.8329060281017973,0.005310441595033492,2.3157384365657916,0.005092226152029796,0.9933061817660611,0.1,0.2853849471777346,0,-22.791593755948984,0,1.0,1.0,1.0,0.5,0.1,0.1,0.1,stable,1.0,0.28682357028432465,0.0014386231065900415,0.6696702916486494,0.7379156369138808,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.0
0.6000000000000001,0.007793532237881742,0.9999988097869349,-6.768615200460771e-05,0.011810737124409587,6,6.518750000001905e-05,2.442811287531773,0.00933522009301704,2.3615124229730573,0.003376954635419102,0.9933065076113045,0.1,0.2554865143490823,0,-3.9009474057002436,0,1.0,1.0,1.0,0.5,0.1,0.1,0.1,stable,1.2976142388073533,0.258327891038631,0.0028413766895487224,0.7046453938371859,0.7762945391544475,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.0
0.7000000000000001,0.0125462760383189,0.999998401692368,-9.267063917967838e-05,0.018146177970726932,6,6.413750000000551e-05,3.866177396263623,0.014880739241446334,2.387872239965291,0.0032112907570564673,0.9933065390811652,0.1,0.22821466758154757,0,14.233661087318499,0,1.0,1.0,1.0,0.5,0.1,0.1,0.1,stable,1.3511872498456365,0.2328790251302606,0.0046643575487130854,0.8140873076415102,0.8929873238672983,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.0
0.8,0.015512515943258656,0.9999979447975372,-0.00012555396505173512,0.02602255707919171,6,6.454590000000149e-05,4.132246729807793,0.022094197931285614,2.4546504590480636,0.005349312268437733,0.9933061329267863,0.1,0.20354285930730306,0,2.660693335441704,0,1.0,1.0,1.0,0.5,0.1,0.1,0.1,stable,1.1557116375797958,0.2101301878473226,0.0065873285400195655,0.938451128380592,0.979466362025765,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.0
0.9,0.014779516859499088,0.9999974448009356,-0.0001326385581742725,0.034811076883311864,6,6.351249999998476e-05,3.239468422082714,0.030511446137518224,2.529875654545603,0.02104413184516533,0.9933031506732816,0.3868474083056319,0.1811914127161321,6.01442994475562,-8.92778307725079,0,5.84801763158552,1.0,1.0,0.5,0.1,0.1,0.1,transitoire,1.1191714491063964,0.18985440406537774,0.008662991349245665,1.0,0.9978066430013193,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.006215316014481515
1.0,0.0026323627031460796,0.9999969079685234,-0.00011002798034210824,0.044267510854948795,1,6.68165999999859e-05,57.92693486755688,0.03968820848218192,2.571266838870966,0.08734001173860544,0.993290538884184,0.3275875733209566,0.15954647383958392,23.31859825235604,546.8746644547416,0,5.893000962488492,1.0,1.0,0.5,0.1,0.1,0.1,transitoire,1.2417796700339738,0.17194471631275732,0.012398242473173388,0.15035946787915025,0.16543167580715576,tanh,0.1,,,,0.1,0.1,0.1,0.1,0.005985929161264535
