target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
An_mean(t),E(t),0.9997610884856676,0.9997610884856676,positive,very_strong
An_mean(t),mean_high_effort,0.9615885314004803,0.9615885314004803,positive,very_strong
An_mean(t),best_pair_score,-0.9188398995889344,0.9188398995889344,negative,very_strong
An_mean(t),std_S,0.8979133207202844,0.8979133207202844,positive,strong
An_mean(t),On_mean(t),0.8883334921667039,0.8883334921667039,positive,strong
An_mean(t),variance_d2S,0.8295080276639243,0.8295080276639243,positive,strong
An_mean(t),decorrelation_time,-0.7419322521074415,0.7419322521074415,negative,strong
An_mean(t),tau_S,-0.7419322521074415,0.7419322521074415,negative,strong
An_mean(t),autocorr_tau,-0.7173439098583368,0.7173439098583368,negative,strong
An_mean(t),tau_gamma,-0.6597159152444216,0.6597159152444216,negative,moderate
An_mean(t),tau_C,-0.6345551198632738,0.6345551198632738,negative,moderate
An_mean(t),continuous_resilience,-0.6295952275615846,0.6295952275615846,negative,moderate
An_mean(t),C(t),0.5873874433607105,0.5873874433607105,positive,moderate
An_mean(t),best_pair_gamma,0.547685050736891,0.547685050736891,positive,moderate
An_mean(t),max_median_ratio,-0.537872191621026,0.537872191621026,negative,moderate
An_mean(t),entropy_S,0.4990109802114997,0.4990109802114997,positive,weak
An_mean(t),tau_f_mean,-0.406610217976192,0.406610217976192,negative,weak
An_mean(t),gamma,0.3855313609467126,0.3855313609467126,positive,weak
An_mean(t),gamma_mean(t),0.37548565860577887,0.37548565860577887,positive,weak
An_mean(t),fn_mean(t),0.34992224086690277,0.34992224086690277,positive,weak
An_mean(t),S(t),-0.3192484271961401,0.3192484271961401,negative,weak
