target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
On_mean(t),E(t),0.8916606747528242,0.8916606747528242,positive,strong
On_mean(t),An_mean(t),0.8883334921667039,0.8883334921667039,positive,strong
On_mean(t),mean_high_effort,0.8177262623425051,0.8177262623425051,positive,strong
On_mean(t),std_S,0.7937006500449177,0.7937006500449177,positive,strong
On_mean(t),best_pair_score,-0.7920604813185331,0.7920604813185331,negative,strong
On_mean(t),variance_d2S,0.7858848843221383,0.7858848843221383,positive,strong
On_mean(t),tau_S,-0.7469726328975809,0.7469726328975809,negative,strong
On_mean(t),decorrelation_time,-0.7469726328975809,0.7469726328975809,negative,strong
On_mean(t),autocorr_tau,-0.7304316084118678,0.7304316084118678,negative,strong
On_mean(t),tau_gamma,-0.6702671593539851,0.6702671593539851,negative,moderate
On_mean(t),tau_C,-0.5398518747241355,0.5398518747241355,negative,moderate
On_mean(t),tau_f_mean,-0.47998631616331305,0.47998631616331305,negative,weak
On_mean(t),C(t),0.46209215073289095,0.46209215073289095,positive,weak
On_mean(t),fn_mean(t),0.4303778844457519,0.4303778844457519,positive,weak
On_mean(t),entropy_S,0.42168426358604494,0.42168426358604494,positive,weak
On_mean(t),max_median_ratio,-0.4077107204655219,0.4077107204655219,negative,weak
On_mean(t),continuous_resilience,-0.3984562450547893,0.3984562450547893,negative,weak
On_mean(t),best_pair_gamma,0.35676737822896126,0.35676737822896126,positive,weak
