target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
autocorr_tau,decorrelation_time,0.998328674476297,0.998328674476297,positive,very_strong
autocorr_tau,tau_S,0.998328674476297,0.998328674476297,positive,very_strong
autocorr_tau,best_pair_score,0.9195620737769004,0.9195620737769004,positive,very_strong
autocorr_tau,tau_gamma,0.8517092293203331,0.8517092293203331,positive,strong
autocorr_tau,tau_f_mean,0.8343603054013111,0.8343603054013111,positive,strong
autocorr_tau,variance_d2S,-0.781614103738182,0.781614103738182,negative,strong
autocorr_tau,std_S,-0.7771164836456508,0.7771164836456508,negative,strong
autocorr_tau,On_mean(t),-0.7304316084118678,0.7304316084118678,negative,strong
autocorr_tau,E(t),-0.7274446088231435,0.7274446088231435,negative,strong
autocorr_tau,An_mean(t),-0.7173439098583368,0.7173439098583368,negative,strong
autocorr_tau,mean_high_effort,-0.7016168037809756,0.7016168037809756,negative,strong
autocorr_tau,best_pair_gamma,-0.6686058686232504,0.6686058686232504,negative,moderate
autocorr_tau,tau_C,0.6119690305888765,0.6119690305888765,positive,moderate
autocorr_tau,En_mean(t),-0.6003142045664736,0.6003142045664736,negative,moderate
autocorr_tau,mean_abs_error,-0.5634491638899836,0.5634491638899836,negative,moderate
autocorr_tau,C(t),-0.5203579733575782,0.5203579733575782,negative,moderate
autocorr_tau,max_median_ratio,0.47774167325676736,0.47774167325676736,positive,weak
autocorr_tau,gamma_mean(t),-0.4695918506160244,0.4695918506160244,negative,weak
autocorr_tau,fn_mean(t),-0.45652411066568704,0.45652411066568704,negative,weak
autocorr_tau,gamma,-0.4503456905736442,0.4503456905736442,negative,weak
autocorr_tau,temporal_coherence,0.3699018315559768,0.3699018315559768,positive,weak
autocorr_tau,entropy_S,-0.32668136628211747,0.32668136628211747,negative,weak
autocorr_tau,effort(t),-0.3113156868365432,0.3113156868365432,negative,weak
autocorr_tau,S(t),0.3041136449997761,0.3041136449997761,positive,weak
autocorr_tau,tau_A_mean,0.30007395320784824,0.30007395320784824,positive,weak
