target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
best_pair_score,std_S,-0.9326656807418373,0.9326656807418373,negative,very_strong
best_pair_score,decorrelation_time,0.9260691876086679,0.9260691876086679,positive,very_strong
best_pair_score,tau_S,0.9260691876086677,0.9260691876086677,positive,very_strong
best_pair_score,autocorr_tau,0.9195620737769004,0.9195620737769004,positive,very_strong
best_pair_score,An_mean(t),-0.9188398995889344,0.9188398995889344,negative,very_strong
best_pair_score,E(t),-0.9186591386880364,0.9186591386880364,negative,very_strong
best_pair_score,mean_high_effort,-0.900123307143684,0.900123307143684,negative,very_strong
best_pair_score,variance_d2S,-0.8859840441393555,0.8859840441393555,negative,strong
best_pair_score,fluidity,0.8859040822373347,0.8859040822373347,positive,strong
best_pair_score,effort(t),-0.8248429008263557,0.8248429008263557,negative,strong
best_pair_score,On_mean(t),-0.7920604813185331,0.7920604813185331,negative,strong
best_pair_score,tau_gamma,0.7408894003637202,0.7408894003637202,positive,strong
best_pair_score,continuous_resilience,0.7378090825420643,0.7378090825420643,positive,strong
best_pair_score,En_mean(t),-0.706402871780031,0.706402871780031,negative,strong
best_pair_score,best_pair_gamma,-0.6887247095012632,0.6887247095012632,negative,moderate
best_pair_score,mean_abs_error,-0.6877483421988262,0.6877483421988262,negative,moderate
best_pair_score,gamma,-0.6364155653217657,0.6364155653217657,negative,moderate
best_pair_score,gamma_mean(t),-0.6344281978536619,0.6344281978536619,negative,moderate
best_pair_score,tau_C,0.5755448934865692,0.5755448934865692,positive,moderate
best_pair_score,temporal_coherence,-0.5657337189638609,0.5657337189638609,negative,moderate
best_pair_score,tau_f_mean,0.5227121344002713,0.5227121344002713,positive,moderate
best_pair_score,C(t),-0.5198460107238329,0.5198460107238329,negative,moderate
best_pair_score,max_median_ratio,0.5102635452838258,0.5102635452838258,positive,moderate
best_pair_score,entropy_S,-0.3956176525390256,0.3956176525390256,negative,weak
