target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
decorrelation_time,tau_S,1.0,1.0,positive,very_strong
decorrelation_time,autocorr_tau,0.998328674476297,0.998328674476297,positive,very_strong
decorrelation_time,best_pair_score,0.9260691876086679,0.9260691876086679,positive,very_strong
decorrelation_time,tau_gamma,0.8688726696520944,0.8688726696520944,positive,strong
decorrelation_time,tau_f_mean,0.8147764381063167,0.8147764381063167,positive,strong
decorrelation_time,std_S,-0.7992602811078889,0.7992602811078889,negative,strong
decorrelation_time,variance_d2S,-0.7827489635970645,0.7827489635970645,negative,strong
decorrelation_time,E(t),-0.751576100023121,0.751576100023121,negative,strong
decorrelation_time,On_mean(t),-0.7469726328975809,0.7469726328975809,negative,strong
decorrelation_time,An_mean(t),-0.7419322521074415,0.7419322521074415,negative,strong
decorrelation_time,mean_high_effort,-0.7258056635517234,0.7258056635517234,negative,strong
decorrelation_time,best_pair_gamma,-0.6466499901512205,0.6466499901512205,negative,moderate
decorrelation_time,tau_C,0.6303687996223104,0.6303687996223104,positive,moderate
decorrelation_time,En_mean(t),-0.5868457665746961,0.5868457665746961,negative,moderate
decorrelation_time,mean_abs_error,-0.5527961605146685,0.5527961605146685,negative,moderate
decorrelation_time,C(t),-0.5391646001490509,0.5391646001490509,negative,moderate
decorrelation_time,max_median_ratio,0.49861779557950303,0.49861779557950303,positive,weak
decorrelation_time,gamma_mean(t),-0.4632048293876747,0.4632048293876747,negative,weak
decorrelation_time,fn_mean(t),-0.45036704315008247,0.45036704315008247,negative,weak
decorrelation_time,gamma,-0.44481055000450664,0.44481055000450664,negative,weak
decorrelation_time,entropy_S,-0.33505105054733936,0.33505105054733936,negative,weak
decorrelation_time,temporal_coherence,0.3265544551845751,0.3265544551845751,positive,weak
decorrelation_time,effort(t),-0.30759736412624267,0.30759736412624267,negative,weak
