target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
max_median_ratio,tau_C,0.975662286387517,0.975662286387517,positive,very_strong
max_median_ratio,C(t),-0.9537009748146101,0.9537009748146101,negative,very_strong
max_median_ratio,mean_high_effort,-0.6461562138172823,0.6461562138172823,negative,moderate
max_median_ratio,tau_gamma,0.5895845114303211,0.5895845114303211,positive,moderate
max_median_ratio,E(t),-0.5420494975473639,0.5420494975473639,negative,moderate
max_median_ratio,An_mean(t),-0.537872191621026,0.537872191621026,negative,moderate
max_median_ratio,best_pair_score,0.5102635452838258,0.5102635452838258,positive,moderate
max_median_ratio,decorrelation_time,0.49861779557950303,0.49861779557950303,positive,weak
max_median_ratio,tau_S,0.49861779557950303,0.49861779557950303,positive,weak
max_median_ratio,std_S,-0.4884081707683984,0.4884081707683984,negative,weak
max_median_ratio,autocorr_tau,0.47774167325676736,0.47774167325676736,positive,weak
max_median_ratio,On_mean(t),-0.4077107204655219,0.4077107204655219,negative,weak
max_median_ratio,entropy_S,-0.3501899628295768,0.3501899628295768,negative,weak
max_median_ratio,variance_d2S,-0.3491212244706242,0.3491212244706242,negative,weak
max_median_ratio,tau_f_mean,0.3308080683179187,0.3308080683179187,positive,weak
max_median_ratio,mean_abs_error,-0.32582390048582444,0.32582390048582444,negative,weak
max_median_ratio,En_mean(t),-0.3024114658919472,0.3024114658919472,negative,weak
