target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
mean_high_effort,E(t),0.9617571058409846,0.9617571058409846,positive,very_strong
mean_high_effort,An_mean(t),0.9615885314004803,0.9615885314004803,positive,very_strong
mean_high_effort,best_pair_score,-0.900123307143684,0.900123307143684,negative,very_strong
mean_high_effort,std_S,0.8926594553226083,0.8926594553226083,positive,strong
mean_high_effort,variance_d2S,0.8318142615204377,0.8318142615204377,positive,strong
mean_high_effort,On_mean(t),0.8177262623425051,0.8177262623425051,positive,strong
mean_high_effort,tau_C,-0.7276196305924424,0.7276196305924424,negative,strong
mean_high_effort,decorrelation_time,-0.7258056635517234,0.7258056635517234,negative,strong
mean_high_effort,tau_S,-0.7258056635517234,0.7258056635517234,negative,strong
mean_high_effort,autocorr_tau,-0.7016168037809756,0.7016168037809756,negative,strong
mean_high_effort,C(t),0.6819688117568069,0.6819688117568069,positive,moderate
mean_high_effort,max_median_ratio,-0.6461562138172823,0.6461562138172823,negative,moderate
mean_high_effort,tau_gamma,-0.6274705876929215,0.6274705876929215,negative,moderate
mean_high_effort,continuous_resilience,-0.627382569971224,0.627382569971224,negative,moderate
mean_high_effort,best_pair_gamma,0.560357632673398,0.560357632673398,positive,moderate
mean_high_effort,entropy_S,0.5264034722330112,0.5264034722330112,positive,moderate
mean_high_effort,tau_f_mean,-0.3787918975513085,0.3787918975513085,negative,weak
mean_high_effort,fn_mean(t),0.32498696749726524,0.32498696749726524,positive,weak
