target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
tau_C,max_median_ratio,0.975662286387517,0.975662286387517,positive,very_strong
tau_C,C(t),-0.9488340303672121,0.9488340303672121,negative,very_strong
tau_C,mean_high_effort,-0.7276196305924424,0.7276196305924424,negative,strong
tau_C,tau_gamma,0.6673072867165319,0.6673072867165319,positive,moderate
tau_C,E(t),-0.6400951833307452,0.6400951833307452,negative,moderate
tau_C,An_mean(t),-0.6345551198632738,0.6345551198632738,negative,moderate
tau_C,tau_S,0.6303687996223104,0.6303687996223104,positive,moderate
tau_C,decorrelation_time,0.6303687996223104,0.6303687996223104,positive,moderate
tau_C,autocorr_tau,0.6119690305888765,0.6119690305888765,positive,moderate
tau_C,std_S,-0.6010853672284674,0.6010853672284674,negative,moderate
tau_C,best_pair_score,0.5755448934865692,0.5755448934865692,positive,moderate
tau_C,On_mean(t),-0.5398518747241355,0.5398518747241355,negative,moderate
tau_C,variance_d2S,-0.4777559616925387,0.4777559616925387,negative,weak
tau_C,tau_f_mean,0.42769014588409804,0.42769014588409804,positive,weak
tau_C,entropy_S,-0.38975162162040833,0.38975162162040833,negative,weak
tau_C,mean_abs_error,-0.35016376244556935,0.35016376244556935,negative,weak
tau_C,En_mean(t),-0.3427016669768247,0.3427016669768247,negative,weak
