target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
tau_f_mean,autocorr_tau,0.8343603054013111,0.8343603054013111,positive,strong
tau_f_mean,tau_S,0.8147764381063167,0.8147764381063167,positive,strong
tau_f_mean,decorrelation_time,0.8147764381063167,0.8147764381063167,positive,strong
tau_f_mean,En_mean(t),-0.7286362470427155,0.7286362470427155,negative,strong
tau_f_mean,tau_gamma,0.7129919424960113,0.7129919424960113,positive,strong
tau_f_mean,temporal_coherence,0.7097048019582418,0.7097048019582418,positive,strong
tau_f_mean,mean_abs_error,-0.6731945962055965,0.6731945962055965,negative,moderate
tau_f_mean,best_pair_gamma,-0.6462422884619687,0.6462422884619687,negative,moderate
tau_f_mean,variance_d2S,-0.5958348715641302,0.5958348715641302,negative,moderate
tau_f_mean,best_pair_score,0.5227121344002713,0.5227121344002713,positive,moderate
tau_f_mean,On_mean(t),-0.47998631616331305,0.47998631616331305,negative,weak
tau_f_mean,gamma_mean(t),-0.4728113985723042,0.4728113985723042,negative,weak
tau_f_mean,gamma,-0.4414141373351213,0.4414141373351213,negative,weak
tau_f_mean,tau_C,0.42769014588409804,0.42769014588409804,positive,weak
tau_f_mean,E(t),-0.4208330381510054,0.4208330381510054,negative,weak
tau_f_mean,An_mean(t),-0.406610217976192,0.406610217976192,negative,weak
tau_f_mean,std_S,-0.40435689213566633,0.40435689213566633,negative,weak
tau_f_mean,mean_high_effort,-0.3787918975513085,0.3787918975513085,negative,weak
tau_f_mean,tau_A_mean,0.3632677604736776,0.3632677604736776,positive,weak
tau_f_mean,S(t),0.34445405647282484,0.34445405647282484,positive,weak
tau_f_mean,C(t),-0.3417087290465981,0.3417087290465981,negative,weak
tau_f_mean,continuous_resilience,-0.33168131166521525,0.33168131166521525,negative,weak
tau_f_mean,max_median_ratio,0.3308080683179187,0.3308080683179187,positive,weak
tau_f_mean,fn_mean(t),-0.32936362403317077,0.32936362403317077,negative,weak
