target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
tau_gamma,tau_S,0.8688726696520946,0.8688726696520946,positive,strong
tau_gamma,decorrelation_time,0.8688726696520944,0.8688726696520944,positive,strong
tau_gamma,autocorr_tau,0.8517092293203331,0.8517092293203331,positive,strong
tau_gamma,best_pair_score,0.7408894003637202,0.7408894003637202,positive,strong
tau_gamma,tau_f_mean,0.7129919424960113,0.7129919424960113,positive,strong
tau_gamma,On_mean(t),-0.6702671593539851,0.6702671593539851,negative,moderate
tau_gamma,E(t),-0.6701422448460996,0.6701422448460996,negative,moderate
tau_gamma,tau_C,0.6673072867165319,0.6673072867165319,positive,moderate
tau_gamma,An_mean(t),-0.6597159152444216,0.6597159152444216,negative,moderate
tau_gamma,std_S,-0.6447853890895832,0.6447853890895832,negative,moderate
tau_gamma,En_mean(t),-0.638552753529132,0.638552753529132,negative,moderate
tau_gamma,mean_high_effort,-0.6274705876929215,0.6274705876929215,negative,moderate
tau_gamma,mean_abs_error,-0.6228565452013491,0.6228565452013491,negative,moderate
tau_gamma,C(t),-0.596673067175148,0.596673067175148,negative,moderate
tau_gamma,max_median_ratio,0.5895845114303211,0.5895845114303211,positive,moderate
tau_gamma,variance_d2S,-0.5666375132835212,0.5666375132835212,negative,moderate
tau_gamma,gamma_mean(t),-0.37527648232545874,0.37527648232545874,negative,weak
tau_gamma,best_pair_gamma,-0.35924229700055044,0.35924229700055044,negative,weak
tau_gamma,gamma,-0.34914044699159097,0.34914044699159097,negative,weak
