target_metric,correlated_with,correlation,abs_correlation,correlation_type,strength
variance_d2S,best_pair_score,-0.8859840441393555,0.8859840441393555,negative,strong
variance_d2S,best_pair_gamma,0.882629840990971,0.882629840990971,positive,strong
variance_d2S,E(t),0.833212323741851,0.833212323741851,positive,strong
variance_d2S,mean_high_effort,0.8318142615204377,0.8318142615204377,positive,strong
variance_d2S,An_mean(t),0.8295080276639243,0.8295080276639243,positive,strong
variance_d2S,On_mean(t),0.7858848843221383,0.7858848843221383,positive,strong
variance_d2S,decorrelation_time,-0.7827489635970645,0.7827489635970645,negative,strong
variance_d2S,tau_S,-0.7827489635970645,0.7827489635970645,negative,strong
variance_d2S,autocorr_tau,-0.781614103738182,0.781614103738182,negative,strong
variance_d2S,std_S,0.7686977938630012,0.7686977938630012,positive,strong
variance_d2S,tau_f_mean,-0.5958348715641302,0.5958348715641302,negative,moderate
variance_d2S,S(t),-0.5840325383317452,0.5840325383317452,negative,moderate
variance_d2S,tau_gamma,-0.5666375132835212,0.5666375132835212,negative,moderate
variance_d2S,tau_C,-0.4777559616925387,0.4777559616925387,negative,weak
variance_d2S,fn_mean(t),0.4608145143466785,0.4608145143466785,positive,weak
variance_d2S,C(t),0.42002128827278895,0.42002128827278895,positive,weak
variance_d2S,entropy_S,0.41624159443482994,0.41624159443482994,positive,weak
variance_d2S,gamma,0.3869093672801143,0.3869093672801143,positive,weak
variance_d2S,gamma_mean(t),0.3827987333686943,0.3827987333686943,positive,weak
variance_d2S,continuous_resilience,-0.35867163334408575,0.35867163334408575,negative,weak
variance_d2S,max_median_ratio,-0.3491212244706242,0.3491212244706242,negative,weak
variance_d2S,effort(t),0.33408804556279326,0.33408804556279326,positive,weak
